"trait","marker","chromosome",position,"gene","feature",z-score
"grain protein","12_30492","chr7H",264361753,"HORVU7Hr1G059240.2","transcript, nontranslating_CDS",1.3798150062488
"grain protein","12_30004","chr7H",374008168,"","",1.3798150062488
"grain protein","12_31418","chr7H",367767660,"HORVU7Hr1G069090","gene, protein_coding",1.3723443117687
"grain protein","11_20567","chr6H",336809299,"HORVU6Hr1G053710","gene, protein_coding, NAR2.3 [Source:UniProtKB/TrEMBL;Acc:Q6X677]",1.3714309886966
"grain protein","11_20572","chr6H",335738837,"HORVU6Hr1G053640.1","transcript, nontranslating_CDS",1.3714309886966
"grain protein","12_30449","chr7H",416618712,"HORVU7Hr1G073460","gene, protein_coding",1.3686964627932
"grain protein","11_21473","chr6H",126212354,"HORVU6Hr1G030390","gene, protein_coding",1.3673828550955
"grain protein","11_20799","chr6H",335741736,"HORVU6Hr1G053650.1","transcript, nontranslating_CDS",1.3670565251017
"grain protein","11_20946","chr6H",340035678,"HORVU6Hr1G054000","gene, protein_coding",1.3660199143241
"grain protein","12_31000","chr7H",333776350,"HORVU7Hr1G066170","gene, protein_coding",1.361887304268
"grain protein","12_11477","chr7H",261448913,"HORVU7Hr1G058850","gene, protein_coding, Predicted protein [Source:UniProtKB/TrEMBL;Acc:F2CW75]",1.361887304268
"grain protein","12_31345","chrUn",111397448,"HORVU0Hr1G021230","gene, protein_coding",1.3615354996975
"grain protein","11_20334","chr5H",640334690,"","",1.3499273075209
"grain protein","11_20329","chr6H",336379278,"HORVU6Hr1G053680","gene, protein_coding",1.3491850747904
"grain protein","12_30316","chr6H",50801220,"HORVU6Hr1G019190","gene, protein_coding",1.3436596878065
"grain protein","11_10461","chr6H",56162524,"","",1.3360966827678
"grain protein","12_30317","chr6H",46946031,"","",1.309724058567
"grain protein","11_11312","chr6H",228201719,"HORVU6Hr1G041430","gene, protein_coding",1.301748247671
"grain protein","11_10323","chr6H",341712225,"HORVU6Hr1G054100","gene, protein_coding",1.2955974988358
"grain protein","11_10041","chr1H",552906938,"HORVU1Hr1G093390","gene, protein_coding",1.2507946482784
"grain protein","11_10539","chr6H",48979750,"HORVU6Hr1G018830","gene, protein_coding, Predicted protein [Source:UniProtKB/TrEMBL;Acc:F2DLH9]",1.2430687888246
"grain protein","11_20707","chr6H",47261864,"HORVU6Hr1G018480","gene, protein_coding",1.2425495378838
"grain protein","11_10817","chr6H",47366298,"HORVU6Hr1G018520","gene, protein_coding",1.2408413463209
