"trait","marker","chromosome",position,"gene","feature",z-score
"heading date","12_31372","chr3H",298534459,"HORVU3Hr1G045410","gene, protein_coding",1.4021669850766
"heading date","12_30818","chr3H",9095803,"HORVU3Hr1G003540","gene, protein_coding",1.3992342116955
"heading date","12_31293","chr2H",641328117,"HORVU2Hr1G090010","gene, protein_coding",1.3942565484748
"heading date","12_30639","chrUn",103945094,"","",1.3911639956796
"heading date","11_21065","chr5H",9600389,"HORVU5Hr1G005910","gene, protein_coding, Predicted protein [Source:UniProtKB/TrEMBL;Acc:F2EL01]",1.3909064968553
"heading date","12_30090","chr3H",599466360,"HORVU3Hr1G082580","gene, protein_coding, Predicted protein [Source:UniProtKB/TrEMBL;Acc:F2E7M0]",1.3906872277416
"heading date","12_10662","chr3H",611543683,"HORVU3Hr1G085210","gene, protein_coding",1.3886291904245
"heading date","12_30064","chr3H",54793358,"HORVU3Hr1G019480","gene, protein_coding",1.3876279318534
"heading date","12_30900","chr2H",652031655,"HORVU2Hr1G092290","gene, protein_coding",1.3842577174986
"heading date","12_30913","chr3H",48646496,"HORVU3Hr1G018650","gene, protein_coding",1.3839848397587
"heading date","12_30750","chr1H",380767247,"HORVU1Hr1G051350","gene, protein_coding",1.3802883485159
"heading date","12_11301","chr1H",77984995,"HORVU1Hr1G020140","gene, protein_coding",1.3753165661117
"heading date","12_30055","chr3H",693425600,"HORVU3Hr1G115580","gene, protein_coding",1.3749262655277
"heading date","12_30530","chr7H",23576066,"HORVU7Hr1G018100","gene, protein_coding",1.3745944945451
"heading date","12_31464","chr1H",459030191,"HORVU1Hr1G064200","gene, protein_coding",1.3736954943155
"heading date","12_31251","chr3H",654499243,"HORVU3Hr1G096780","gene, protein_coding",1.3712611675446
"heading date","12_31394","chr2H",627474976,"HORVU2Hr1G087380","gene, protein_coding",1.3709936002703
"heading date","12_30977","chr5H",2571485,"HORVU5Hr1G000710","gene, protein_coding",1.3676920486944
"heading date","12_30404","chr1H",324791460,"HORVU1Hr1G044680","gene, protein_coding, Predicted protein [Source:UniProtKB/TrEMBL;Acc:F2CQK2]",1.3654234969681
"heading date","12_31345","chrUn",111397448,"HORVU0Hr1G021230","gene, protein_coding",1.3522457177944
"heading date","12_10508","chr5H",372542948,"HORVU5Hr1G048010","gene, protein_coding",1.3383129980178
"heading date","12_10905","chr1H",529829695,"HORVU1Hr1G082540","gene, protein_coding",1.3355672462663
"heading date","12_31380","chr2H",626116160,"HORVU2Hr1G087030","gene, protein_coding",1.3351271345995
"heading date","12_30674","chr2H",626233860,"HORVU2Hr1G087090","gene, protein_coding",1.3351271345995
"heading date","12_30737","chr3H",63626447,"","",1.322472936455
"heading date","12_30764","chr4H",1302636,"HORVU4Hr1G000850","gene, protein_coding, C2 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q5DVL6]",1.3189249677461
"heading date","12_30343","chr1H",401872471,"HORVU1Hr1G054340","gene, protein_coding",1.3173285569763
"heading date","12_31139","chr4H",624584147,"HORVU4Hr1G083210","gene, protein_coding",1.3144899633419
"heading date","12_30546","chr1H",508566982,"HORVU1Hr1G074590","gene, protein_coding",1.3141937393494
"heading date","12_30342","chr3H",611855038,"HORVU3Hr1G085270","gene, protein_coding",1.3106432672758
"heading date","12_10344","chr3H",611561552,"HORVU3Hr1G085220.1","transcript, nontranslating_CDS",1.3091159422261
"heading date","12_30980","chr5H",2540132,"HORVU5Hr1G000640","gene, protein_coding",1.3070681794912
"heading date","12_10159","chr1H",98741946,"HORVU1Hr1G022810","gene, protein_coding",1.3007157064794
"heading date","12_30438","chr1H",98026235,"HORVU1Hr1G022750","gene, protein_coding",1.3007157064794
"heading date","12_10860","chr4H",27327299,"HORVU4Hr1G009560","gene, protein_coding",1.2981008580585
"heading date","12_30436","chr1H",109055279,"HORVU1Hr1G024240","gene, protein_coding",1.2934568312564
"heading date","12_31366","chr5H",606164060,"HORVU5Hr1G097940","gene, protein_coding",1.2854212908513
"heading date","12_30543","chr5H",397673,"HORVU5Hr1G000060","gene, protein_coding",1.2850313580299
"heading date","12_30474","chr3H",63807754,"HORVU3Hr1G020470","gene, protein_coding",1.2848979695025
"heading date","12_20187","chr1H",520008962,"HORVU1Hr1G078350","gene, protein_coding",1.2755288802792
"heading date","12_30290","chr7H",63760337,"HORVU7Hr1G031330","gene, protein_coding",1.2746332397289
"heading date","12_30786","chr1H",380275827,"HORVU1Hr1G051250","gene, protein_coding",1.2724287860361
"heading date","12_31401","chr1H",449869267,"HORVU1Hr1G062460","gene, protein_coding",1.2718148036164
"heading date","12_31179","chr1H",449874188,"HORVU1Hr1G062470","gene, protein_coding",1.2705330900229
"heading date","12_30406","chr1H",376377160,"HORVU1Hr1G050740","gene, protein_coding",1.2649960311852
"heading date","12_30734","chr6H",563108828,"HORVU6Hr1G087100","gene, protein_coding",1.2620103330666
"heading date","12_10201","chr1H",428364193,"HORVU1Hr1G058820","gene, protein_coding, Predicted protein [Source:UniProtKB/TrEMBL;Acc:F2E2M1]",1.2606445131566
"heading date","12_10859","chr2H",645202515,"HORVU2Hr1G090660.1","transcript, nontranslating_CDS",1.2532982965222
"heading date","12_10296","chr2H",51222231,"HORVU2Hr1G019660","gene, protein_coding",1.2431566556553
"heading date","11_21297","chr5H",618532841,"HORVU5Hr1G104160","gene, protein_coding",1.2413017526778
"heading date","12_30473","chr6H",115445291,"HORVU6Hr1G028790","gene, protein_coding, Predicted protein [Source:UniProtKB/TrEMBL;Acc:F2D8Q7]",1.2356919099528
"heading date","11_20791","chr5H",618538062,"HORVU5Hr1G104200","gene, protein_coding",1.2347608552224
"heading date","12_31467","chr1H",66850934,"","",1.2304155004126
"heading date","12_30871","chr2H",29127021,"HORVU2Hr1G013400","gene, protein_coding",1.2226955766801
"heading date","12_31225","chr6H",545762086,"HORVU6Hr1G081400","gene, protein_coding",1.2223302473617
"heading date","12_30956","chr6H",583345643,"HORVU6Hr1G095380","gene, protein_coding",1.2195945820536
"heading date","12_30799","chr3H",202344462,"HORVU3Hr1G035930","gene, protein_coding",1.217816192368
"heading date","12_10333","chr5H",619075925,"HORVU5Hr1G104380","gene, protein_coding",1.2134369278048
"heading date","12_30602","chr6H",528517292,"HORVU6Hr1G077100","gene, protein_coding",1.2134369278048
"heading date","12_30304","chr1H",437281728,"HORVU1Hr1G060150","gene, protein_coding",1.2121488070698
"heading date","12_10507","chr5H",562730312,"HORVU5Hr1G081010","gene, protein_coding",1.2054558179401
"heading date","12_30588","chr1H",10747464,"HORVU1Hr1G004970","gene, protein_coding",1.2023417576186
"heading date","12_10079","chr5H",378886729,"HORVU5Hr1G048830.1","transcript, nontranslating_CDS",1.1985892732764
"heading date","12_30656","chr5H",653569721,"HORVU5Hr1G118680","gene, protein_coding",1.1976785273646
"heading date","12_30009","chrUn",39231607,"","",1.1959751791452
"heading date","12_30223","chr3H",627767267,"HORVU3Hr1G089190","gene, protein_coding",1.1862641701778
"heading date","12_30705","chr5H",561727550,"HORVU5Hr1G080610","gene, protein_coding",1.1795797362609
"heading date","12_30241","chr1H",17000653,"HORVU1Hr1G007900","gene, protein_coding",1.1718445854225
"heading date","12_10166","chrUn",5043883,"HORVU0Hr1G000810","gene, protein_coding",1.154302911249
"heading date","12_31149","chr1H",8468465,"HORVU1Hr1G003940","gene, protein_coding",1.1406305159417
"heading date","12_31018","chr3H",583536652,"HORVU3Hr1G079490","gene, protein_coding",1.1237901035147
"heading date","12_30710","chr1H",394416611,"HORVU1Hr1G053340","gene, protein_coding",1.0736395248214
"heading date","12_30680","chr3H",430630118,"HORVU3Hr1G057380","gene, protein_coding",1.0632086193408
"heading date","12_30872","chr2H",29124597,"HORVU2Hr1G013400","gene, protein_coding",1.0480247800115
