"trait","marker","chromosome",position,"gene","feature",z-score
"plant height","SCRI_RS_200033","chr2H",712500709,"MLOC_56464","gene, protein_coding, Predicted protein; Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:F2DJZ5]",1.2909680289548
"plant height","SCRI_RS_124549","chr6H",567208338,"","",1.2869084735698
"plant height","SCRI_RS_182326","chrUNK",1350,"","",1.2860341095964
"plant height","11_20287","chr6H",481001771,"","",1.2841530472503
"plant height","11_21521","chr6H",343390,"","",1.2841029972072
"plant height","11_20629","chr5H",581323626,"","",1.2838655818401
"plant height","11_21348","chr3H",582486771,"","",1.2838460032626
"plant height","11_10926","chr3H",434842337,"MLOC_31807","gene, protein_coding, Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0VJX0]",1.2825860086513
"plant height","SCRI_RS_231790","chrUNK",1940,"","",1.2821725323161
"plant height","11_10744","chr1H",18807356,"MLOC_57526","gene, protein_coding, Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0X6Z9]",1.2820759596593
"plant height","SCRI_RS_141081","chr3H",73433445,"MLOC_67455","gene, protein_coding, Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0YB36]",1.278042496852
"plant height","SCRI_RS_164251","chr7H",228408241,"","",1.2760791112616
"plant height","11_11509","chr1H",554277483,"","",1.2734716098673
"plant height","11_10208","chr4H",2789843,"","",1.2689542955061
"plant height","12_31280","chrUn",248068738,"","",1.2683232124431
"plant height","11_10631","chr3H",660938022,"","",1.2679162811618
"plant height","11_20053","chr6H",512159550,"","",1.263672819885
"plant height","11_10012","chr2H",219489966,"","",1.2620135109457
"plant height","SCRI_RS_222698","chr5H",585875971,"","",1.2573699460679
"plant height","11_10270","chr6H",407357254,"","",1.2545990244888
"plant height","11_21266","chr3H",666091295,"","",1.2535503632829
"plant height","SCRI_RS_182648","chr6H",461432514,"","",1.2441355972052
"plant height","SCRI_RS_207030","chr4H",44247146,"","",1.2383618948243
"plant height","11_10964","chr6H",428615244,"","",1.2320061885519
"plant height","11_10760","chr1H",23815813,"MLOC_65638","gene, protein_coding, Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0Y4I6]",1.2316831606171
"plant height","11_20603","chr1H",553490762,"","",1.2241338544969
"plant height","12_30797","chr7H",617916935,"","",1.2237059250408
"plant height","11_10793","chr4H",45245669,"MLOC_47250","gene, protein_coding, Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0WB58]",1.2226865590921
"plant height","SCRI_RS_173164","chrUn",9762189,"MLOC_75519","gene, protein_coding, Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0Z1Q7]",1.2208395482587
"plant height","12_30350","chr1H",368821886,"","",1.2204156478514
"plant height","SCRI_RS_128336","chr3H",687549675,"MLOC_12826","gene, protein_coding, Vacuolar protein sorting 55 (VPS55) family protein [Source:Projected from Arabidopsis thaliana (AT3G11530) TAIR;Acc:AT3G11530]",1.2151573292058
"plant height","11_20722","chr7H",19656144,"","",1.214096264876
"plant height","SCRI_RS_128491","chr3H",373322670,"MLOC_4508","gene, protein_coding, Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0W8V5]",1.2086549240103
"plant height","SCRI_RS_162838","chr3H",507320214,"","",1.2078053141422
"plant height","11_21175","chr2H",677845247,"MLOC_38318","gene, protein_coding, Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0VXU3]",1.2021607242421
"plant height","11_10419","chr1H",4153868,"","",1.1993613695504
"plant height","SCRI_RS_223885","chr2H",701038247,"","",1.192442666477
"plant height","12_31211","chr7H",451634037,"","",1.1867816937746
"plant height","11_21339","chrUn",191449960,"","",1.1819307887402
"plant height","12_31289","chr6H",502168189,"","",1.1801557322342
"plant height","SCRI_RS_169596","chr5H",556291232,"","",1.1792279464723
"plant height","SCRI_RS_236446","chrUn",66233141,"","",1.1787659687834
"plant height","SCRI_RS_197817","chr5H",44082992,"","",1.1753646227296
"plant height","SCRI_RS_153154","chrUNK",910,"","",1.1667788999977
"plant height","SCRI_RS_11114","chr4H",616249270,"","",1.1615533089765
"plant height","11_20266","chrUn",95056833,"","",1.1578331203116
"plant height","SCRI_RS_157974","chr4H",639947991,"","",1.1575099494392
"plant height","SCRI_RS_213333","chr7H",24062475,"","",1.1505035922472
"plant height","SCRI_RS_169325","chrUn",41587407,"","",1.1499281297275
"plant height","SCRI_RS_237689","chr7H",3848309,"","",1.1492641029169
"plant height","12_10487","chr2H",742811663,"MLOC_65621","gene, protein_coding, Predicted protein; Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:F2E3M1]",1.1437546581509
"plant height","SCRI_RS_181727","chr7H",527758417,"","",1.1359797473966
"plant height","11_11459","chr6H",509042302,"","",1.1354493076866
"plant height","11_21256","chr6H",509626192,"","",1.1278789827258
"plant height","11_21181","chr2H",631832715,"","",1.1239957120307
"plant height","SCRI_RS_214796","chr3H",345391718,"MLOC_40295","gene, protein_coding, Predicted protein; Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:F2DE83]",1.0775052948961
"plant height","SCRI_RS_142438","chr3H",620661980,"","",1.0742748030521
"plant height","SCRI_RS_162836","chr6H",565626975,"","",1.0264837279412
"plant height","SCRI_RS_238070","chr5H",590273037,"","",0.97153670821378
