"trait","marker","chromosome",position,"gene","feature",z-score
"heading date","11_20126","chr7H",39065208,"","",1.7955370551697
"heading date","12_31186","chr4H",530354822,"MLOC_43885","gene, protein_coding, Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0W572]",1.7945078311348
"heading date","12_30828","chr2H",219489782,"","",1.7903990241832
"heading date","11_11046","chr2H",205975238,"MLOC_70835","gene, protein_coding, Cytochrome b6-f complex iron-sulfur subunit  [Source:UniProtKB/TrEMBL;Acc:F2CZH5]",1.7884015255666
"heading date","11_21286","chr2H",210132420,"","",1.7711921893293
"heading date","11_10070","chr2H",202976499,"MLOC_65066","gene, protein_coding, Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0Y286]",1.7532546676209
"heading date","11_10602","chr2H",197904597,"LHBC","gene, protein_coding, Chlorophyll a-b binding protein of LHCII type III, chloroplastic  [Source:UniProtKB/Swiss-Prot;Acc:P27523]",1.7512383182731
"heading date","12_10035","chr2H",463231120,"","",1.7314868567812
"heading date","12_30323","chr2H",538202423,"","",1.7233565792587
"heading date","12_30275","chr2H",540085329,"","",1.7222719498244
"heading date","12_30634","chr2H",197586042,"MLOC_76434","gene, protein_coding, Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0Z3L1]",1.6874434422802
"heading date","11_21491","chr7H",53441694,"","",1.6691173237267
"heading date","12_10485","chr2H",181669695,"","",1.6537623901244
"heading date","12_30496","chr7H",116658838,"","",1.6360655675596
"heading date","12_10103","chrUn",32722337,"MLOC_23107","gene, protein_coding, Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0VD47]",1.608445246191
"heading date","12_30528","chr7H",52802568,"","",1.5920992506688
"heading date","12_30060","chr4H",495699304,"MLOC_10879","gene, protein_coding, Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0UH32]",1.5901628761237
"heading date","12_30250","chr3H",597724093,"MLOC_212","gene, protein_coding, Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0VAF3]",1.5808835267757
"heading date","12_10088","chr4H",494330606,"MLOC_66511","gene, protein_coding, Predicted protein; Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:F2D5Z0]",1.5770303902758
"heading date","12_31297","chr4H",492500731,"MLOC_5636","gene, protein_coding, Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0X1V1]",1.56721029862
"heading date","12_30847","chr5H",560571147,"","",1.5614695283148
"heading date","12_30846","chr5H",560346210,"","",1.5532656266867
"heading date","12_31319","chr1H",513231576,"MLOC_12494","gene, protein_coding, Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0UN87]",1.5506946840862
"heading date","12_30854","chr5H",559462764,"","",1.5184026716108
"heading date","12_30852","chr5H",560732040,"","",1.5079608571185
"heading date","12_10777","chr2H",26199616,"MLOC_55450","gene, protein_coding, 2-oxoacid dehydrogenases acyltransferase family protein [Source:Projected from Arabidopsis thaliana (AT3G06850) TAIR;Acc:AT3G06850]",1.5023143726125
"heading date","12_30626","chr6H",542829950,"","",1.5018348599378
"heading date","12_10657","chr7H",82213134,"","",1.5009314202676
"heading date","12_31252","chr2H",559011564,"","",1.4975691720307
"heading date","12_31152","chr1H",520099770,"MLOC_6843","gene, protein_coding, Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0YEG3]",1.4946142441091
"heading date","12_30724","chr2H",567016838,"MLOC_13052","gene, protein_coding, Predicted protein; Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:F2DVZ6]",1.4873175658637
"heading date","12_11278","chr2H",567404068,"MLOC_70500","gene, protein_coding, Peptidyl-prolyl cis-trans isomerase  [Source:UniProtKB/TrEMBL;Acc:F2D5P0]",1.4845444659017
"heading date","12_30108","chr2H",556024145,"","",1.4841582446331
"heading date","12_31081","chr1H",558224306,"","",1.4811118778016
"heading date","12_30499","chr1H",381209230,"MLOC_5942","gene, protein_coding, ATP-dependent Clp protease proteolytic subunit  [Source:UniProtKB/TrEMBL;Acc:F2CVZ5]",1.4433998923074
"heading date","12_31256","chr2H",545218326,"","",1.4417641010852
"heading date","12_30478","chr1H",381207730,"","",1.4348337025502
"heading date","12_31208","chr1H",331415858,"MLOC_39356","gene, protein_coding, Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0W0C1]",1.4268976233138
"heading date","12_30562","chr1H",315508280,"","",1.4170528537499
"heading date","12_30909","chr3H",600339395,"MLOC_44990","gene, protein_coding, Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0W8N4]",1.4141017268829
"heading date","12_30833","chr5H",611999790,"","",1.407167617755
"heading date","11_10576","chr7H",46106073,"","",1.405403569159
"heading date","12_30796","chr1H",84338596,"","",1.4045699653822
"heading date","12_31372","chr3H",298534459,"MLOC_7091","gene, protein_coding, Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0YMS0]",1.4021669850766
"heading date","12_30818","chr3H",9095803,"","",1.3992342116955
"heading date","12_31293","chr2H",641328117,"","",1.3942565484748
"heading date","12_30639","chrUn",103945094,"","",1.3911639956796
"heading date","11_21065","chr5H",9600389,"","",1.3909064968553
"heading date","12_30090","chr3H",599466360,"MLOC_56891","gene, protein_coding, Predicted protein; Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:F2E7M0]",1.3906872277416
"heading date","12_10662","chr3H",611543683,"MLOC_80547","gene, protein_coding, Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0ZAX8]",1.3886291904245
"heading date","12_30064","chr3H",54793358,"MLOC_70777","gene, protein_coding, Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0YMD5]",1.3876279318534
"heading date","12_30900","chr2H",652031655,"","",1.3842577174986
"heading date","12_30913","chr3H",48646496,"MLOC_15108","gene, protein_coding, Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0UWS9]",1.3839848397587
"heading date","12_30750","chr1H",380767247,"","",1.3802883485159
"heading date","12_11301","chr1H",77984995,"MLOC_58795","gene, protein_coding, Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0XC99]",1.3753165661117
"heading date","12_30055","chr3H",693425600,"","",1.3749262655277
"heading date","12_30530","chr7H",23576066,"","",1.3745944945451
"heading date","12_31464","chr1H",459030191,"","",1.3736954943155
"heading date","12_31251","chr3H",654499243,"MLOC_78265","gene, protein_coding, Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0Z7A0]",1.3712611675446
"heading date","12_31394","chr2H",627474976,"","",1.3709936002703
"heading date","12_30977","chr5H",2571485,"MLOC_21198","gene, protein_coding, Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0VAF1]",1.3676920486944
"heading date","12_30404","chr1H",324791460,"PORB","gene, protein_coding, Protochlorophyllide reductase B, chloroplastic  [Source:UniProtKB/Swiss-Prot;Acc:Q42850]",1.3654234969681
"heading date","12_31345","chrUn",111397448,"","",1.3522457177944
"heading date","12_10508","chr5H",372542948,"","",1.3383129980178
"heading date","12_10905","chr1H",529829695,"","",1.3355672462663
"heading date","12_31380","chr2H",626116160,"MLOC_67126","gene, protein_coding, Predicted protein; Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:F2DKB8]",1.3351271345995
"heading date","12_30674","chr2H",626233860,"MLOC_69815","gene, protein_coding, Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0YJ11]",1.3351271345995
"heading date","12_30737","chr3H",63626447,"MLOC_18857","gene, protein_coding, Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0V5P3]",1.322472936455
"heading date","12_30764","chr4H",1302636,"MLOC_77063","gene, protein_coding, Calcium-dependent lipid-binding (CaLB domain) family protein [Source:Projected from Arabidopsis thaliana (AT5G23950) TAIR;Acc:AT5G23950]",1.3189249677461
"heading date","12_30343","chr1H",401872471,"MLOC_70248","gene, protein_coding, tobamovirus multiplication 2B [Source:Projected from Arabidopsis thaliana (AT1G32370) TAIR;Acc:AT1G32370]",1.3173285569763
"heading date","12_31139","chr4H",624584147,"MLOC_67678","gene, protein_coding, Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0YBV9]",1.3144899633419
"heading date","12_30546","chr1H",508566982,"MLOC_14736","gene, protein_coding, aspartate aminotransferase [Source:Projected from Arabidopsis thaliana (AT2G22250) TAIR;Acc:AT2G22250]",1.3141937393494
"heading date","12_30342","chr3H",611855038,"MLOC_59923","gene, protein_coding, Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0XGV1]",1.3106432672758
"heading date","12_10344","chr3H",611561552,"MLOC_63693","gene, protein_coding, Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0XWH7]",1.3091159422261
"heading date","12_30980","chr5H",2540132,"MLOC_56982","gene, protein_coding, Hordoindoline-A  [Source:UniProtKB/Swiss-Prot;Acc:Q9M4E3]",1.3070681794912
"heading date","12_10159","chr1H",98741946,"","",1.3007157064794
"heading date","12_30438","chr1H",98026235,"","",1.3007157064794
"heading date","12_10860","chr4H",27327299,"MLOC_37044","gene, protein_coding, Sulfite exporter TauE/SafE family protein [Source:Projected from Arabidopsis thaliana (AT2G36630) TAIR;Acc:AT2G36630]",1.2981008580585
"heading date","12_30436","chr1H",109055279,"","",1.2934568312564
"heading date","12_31366","chr5H",606164060,"","",1.2854212908513
"heading date","12_30543","chr5H",397673,"MLOC_52604","gene, protein_coding, Protein kinase family protein [Source:Projected from Arabidopsis thaliana (AT3G13670) TAIR;Acc:AT3G13670]",1.2850313580299
"heading date","12_30474","chr3H",63807754,"MLOC_9934","gene, protein_coding, Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0ZFN1]",1.2848979695025
"heading date","12_20187","chr1H",520008962,"","",1.2755288802792
"heading date","12_30290","chr7H",63760337,"","",1.2746332397289
"heading date","12_30786","chr1H",380275827,"MLOC_71478","gene, protein_coding, Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0YPH3]",1.2724287860361
"heading date","12_31401","chr1H",449869267,"MLOC_18476","gene, protein_coding, Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0V539]",1.2718148036164
"heading date","12_31179","chr1H",449874188,"","",1.2705330900229
"heading date","12_30406","chr1H",376377160,"MLOC_75202","gene, protein_coding, Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0Z0W7]",1.2649960311852
"heading date","12_30734","chr6H",563108828,"","",1.2620103330666
"heading date","12_10201","chr1H",428364193,"MLOC_39179","gene, protein_coding, Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0W018]",1.2606445131566
"heading date","12_10859","chr2H",645202515,"","",1.2532982965222
"heading date","12_10296","chr2H",51222231,"MLOC_71818","gene, protein_coding, Ribosomal protein S8e family protein [Source:Projected from Arabidopsis thaliana (AT5G06360) TAIR;Acc:AT5G06360]",1.2431566556553
"heading date","11_21297","chr5H",618532841,"","",1.2413017526778
"heading date","12_30473","chr6H",115445291,"","",1.2356919099528
"heading date","11_20791","chr5H",618538062,"","",1.2347608552224
"heading date","12_31467","chr1H",66850934,"MLOC_64212","gene, protein_coding, Predicted protein; Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:F2CR79]",1.2304155004126
"heading date","12_30871","chr2H",29127021,"MLOC_81154","gene, protein_coding, Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0ZBT3]",1.2226955766801
"heading date","12_31225","chr6H",545762086,"","",1.2223302473617
"heading date","12_30956","chr6H",583345643,"","",1.2195945820536
"heading date","12_30799","chr3H",202344462,"","",1.217816192368
"heading date","12_10333","chr5H",619075925,"","",1.2134369278048
"heading date","12_30602","chr6H",528517292,"","",1.2134369278048
"heading date","12_30304","chr1H",437281728,"MLOC_12605","gene, protein_coding, Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0UNP2]",1.2121488070698
"heading date","12_10507","chr5H",562730312,"","",1.2054558179401
"heading date","12_30588","chr1H",10747464,"MLOC_14903","gene, protein_coding, Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0UW41]",1.2023417576186
"heading date","12_10079","chr5H",378886729,"","",1.1985892732764
"heading date","12_30656","chr5H",653569721,"","",1.1976785273646
"heading date","12_30009","chrUn",39231607,"MLOC_70791","gene, protein_coding, ATP synthase subunit beta  [Source:UniProtKB/TrEMBL;Acc:M0YMF2]",1.1959751791452
"heading date","12_30223","chr3H",627767267,"MLOC_44677","gene, protein_coding, Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0W7X9]",1.1862641701778
"heading date","12_30705","chr5H",561727550,"","",1.1795797362609
"heading date","12_30241","chr1H",17000653,"MLOC_16241","gene, protein_coding, Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0V046]",1.1718445854225
"heading date","12_10166","chrUn",5043883,"MLOC_18031","gene, protein_coding, Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0V452]",1.154302911249
"heading date","12_31149","chr1H",8468465,"MLOC_65684","gene, protein_coding, Papain-like cysteine proteinase; Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:B4ESE7]",1.1406305159417
"heading date","12_31018","chr3H",583536652,"MLOC_71332","gene, protein_coding, Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0YP24]",1.1237901035147
"heading date","12_30710","chr1H",394416611,"","",1.0736395248214
"heading date","12_30680","chr3H",430630118,"MLOC_37695","gene, protein_coding, Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0VVR3]",1.0632086193408
"heading date","12_30872","chr2H",29124597,"MLOC_81154","gene, protein_coding, Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0ZBT3]",1.0480247800115
